dataset,sequence_id,category,num_frames,priority,pick_rank,num_frames,median_area_ratio,min_area_ratio,max_area_ratio,scale_variation,aspect_ratio_variation,center_motion,normalized_motion,small_object,fast_motion,occlusion
localvids,dataset3__tricycle1_1,tricycle1,1102,0.60835,37,1102.0,0.00211,0.00012,0.00363,0.18073,0.28777,2.3794,0.05983,0.95407,0.16781,
localvids,dataset5__wakeboard5,wakeboard,1675,0.89892,38,1675.0,0.00217,1e-05,0.0121,0.71536,0.40881,3.12871,0.12927,0.95344,0.3129,
localvids,dataset3__dark_car2-n,dark_car2-n,939,0.59951,39,939.0,0.00082,0.00013,0.00174,0.20077,0.25347,1.58818,0.07632,0.97136,0.10719,
localvids,dataset2__Girl1,Girl,218,0.63703,40,218.0,0.00249,0.00128,0.00322,0.09136,0.12114,5.8148,0.12055,0.95009,0.69414,
localvids,dataset3__basketball_player2-n,basketball_player2-n,1225,0.59298,41,1225.0,0.0012,0.00059,0.00255,0.13126,0.26442,2.04823,0.05976,0.96539,0.14777,
localvids,dataset3__bus2-n,bus2-n,716,0.59161,42,716.0,0.01147,0.00512,0.01854,0.19536,0.57558,1.74556,0.0188,0.89291,0.05676,
localvids,dataset5__person1_s,person1_s,1600,0.59154,43,1600.0,0.00788,0.00123,0.0276,0.20103,0.17104,9.11399,0.11078,0.91125,0.26428,
localvids,dataset2__Wakeboarding2,Wakeboarding,76,0.78801,44,76.0,0.00113,0.0005,0.0035,0.29976,0.49435,10.1772,0.30227,0.96634,0.56614,
localvids,dataset2__Animal1,Animal,147,0.67755,45,147.0,0.00189,0.00026,0.00509,0.41486,0.2064,4.51014,0.12851,0.95656,0.30554,
localvids,dataset5__car16_1,car16,415,0.8598,46,415.0,0.00516,0.00037,0.26183,1.10867,0.20599,3.83351,0.03795,0.92819,0.08461,
localvids,dataset3__runner2,runner,147,0.71568,47,147.0,0.00083,0.00022,0.00943,0.59498,0.19096,7.62229,0.11667,0.97116,0.167,
localvids,dataset1__volleyball,volleyball,2088,0.58417,48,2088.0,0.00138,0.00073,0.00238,0.09644,0.26292,2.265,0.021,0.96281,0.05431,
localvids,dataset2__Car2,Car,74,0.8663,49,74.0,0.00071,0.00053,0.00088,0.05332,0.13905,15.87377,0.64125,0.97344,1.51849,
localvids,dataset5__truck4_2,truck4,685,0.59775,50,685.0,0.00098,0.00016,0.00292,0.36225,0.09307,1.38979,0.04203,0.9687,0.08056,
localvids,dataset5__car2_s,car2_s,320,0.56964,51,320.0,0.00642,0.00322,0.01214,0.1446,0.12204,9.79584,0.13512,0.91985,0.4565,
localvids,dataset3__duck3,duck,901,0.72724,52,901.0,0.00029,0.00011,0.00057,0.21486,0.28278,2.73394,0.17896,0.98307,0.49758,
localvids,dataset2__Yacht2,Yacht,239,0.58631,53,239.0,0.00167,0.00091,0.00945,0.37026,0.09739,2.176,0.04831,0.95916,0.11559,
localvids,dataset2__RcCar3,RcCar,202,0.78305,54,202.0,0.00182,0.00033,0.00858,0.38533,0.24282,17.68267,0.38179,0.95729,0.68983,
localvids,dataset3__basketball_player3-n,basketball_player3-n,732,0.56171,55,732.0,0.00142,0.00074,0.00234,0.11176,0.26891,2.34482,0.06356,0.96228,0.13254,
localvids,dataset2__Paragliding5,Paragliding,220,0.57431,56,220.0,0.00254,0.00131,0.00338,0.10052,0.11082,8.64104,0.1816,0.94956,0.46163,
localvids,dataset3__dark_car1-n,dark_car1-n,577,0.55663,57,577.0,0.00208,0.00112,0.00329,0.11305,0.33348,1.84937,0.04286,0.95436,0.09588,
localvids,dataset3__air_conditioning_box2,air_conditioning_box,1847,0.71579,58,1847.0,0.00026,0.0001,0.00103,0.20691,0.33031,1.8952,0.11286,0.98393,0.28674,
localvids,dataset1__horse_4,horse,235,0.66237,59,235.0,0.00361,0.00107,0.00604,0.22834,0.6813,6.28595,0.03927,0.93993,0.0812,
localvids,dataset3__swan,swan,300,0.55403,60,300.0,0.00154,0.0012,0.00176,0.04134,0.39974,2.5557,0.046,0.96069,0.13676,
localvids,dataset2__ManRunning2,ManRunning,260,0.57292,61,260.0,0.00872,0.00534,0.02621,0.19449,0.15762,12.12262,0.1176,0.9066,0.41699,
localvids,dataset3__car6_1,car6,1920,0.65806,62,1920.0,0.00057,7e-05,0.00135,0.2182,0.27868,1.1112,0.04873,0.97613,0.12433,
localvids,dataset3__basketball_player4-n,basketball_player4-n,408,0.54559,63,408.0,0.00161,0.00096,0.00365,0.12386,0.22654,3.06634,0.07782,0.95988,0.15042,
localvids,dataset5__group1_3,group1,1411,0.58206,64,1411.0,0.00232,0.00029,0.00358,0.15074,0.21809,2.6603,0.06331,0.95188,0.14492,
localvids,dataset3__pot_bunker,pot_bunker,1383,0.54232,65,1383.0,0.00883,0.00271,0.01667,0.20416,0.19782,2.2567,0.02654,0.90604,0.09886,
localvids,dataset2__SnowBoarding4,SnowBoarding,109,0.74216,66,109.0,0.00231,0.00057,0.04849,0.67984,0.25629,4.22937,0.06618,0.95195,0.15255,
localvids,dataset2__Surfing12,Surfing,135,0.75088,67,135.0,0.00292,0.00107,0.00479,0.20419,0.77355,9.10616,0.18034,0.94599,0.34442,
localvids,dataset2__Kiting,Kiting,129,0.53105,68,129.0,0.0017,0.00129,0.00232,0.07158,0.28705,3.68824,0.09277,0.9588,0.1508,
localvids,dataset3__building1_2,building1,1036,0.6166,69,1036.0,0.01007,0.00498,0.03973,0.31201,0.40606,3.30936,0.03143,0.89964,0.08965,
localvids,dataset5__person17_2,person17,847,0.5422,70,847.0,0.00239,0.00172,0.00932,0.19462,0.13072,2.09372,0.03977,0.9511,0.10346,
localvids,dataset3__courier1,courier,703,0.64582,71,703.0,0.00118,0.00055,0.00307,0.22946,0.3932,2.76304,0.07988,0.96558,0.15304,
localvids,dataset5__person14_3,person14,1111,0.54336,72,1111.0,0.00143,0.00085,0.00251,0.1049,0.13465,2.10302,0.05583,0.96215,0.1543,
localvids,dataset3__tennis_player1_1,tennis_player1,850,0.65176,73,850.0,0.00054,0.00023,0.00191,0.26801,0.23293,1.68385,0.07141,0.97685,0.22242,
localvids,dataset5__car8_1,car8,1357,0.55312,74,1357.0,0.02447,0.0043,0.04686,0.31802,0.33983,2.47062,0.02026,0.84358,0.05148,
localvids,dataset5__group3_2,group3,1261,0.62695,75,1261.0,0.00133,0.00021,0.00219,0.20454,0.32436,1.18622,0.04162,0.96359,0.11494,
localvids,dataset3__motor1,motor,57,0.62865,76,57.0,0.00204,0.00095,0.01915,0.50669,0.06446,8.8097,0.09302,0.95478,0.15673,
localvids,dataset5__truck1,truck,463,0.64878,77,463.0,0.01847,0.0098,0.34008,0.698,0.23835,3.38281,0.01847,0.8641,0.03946,
localvids,dataset5__person8_2,person8,451,0.52344,78,451.0,0.01174,0.00542,0.04349,0.28332,0.23438,4.04786,0.03475,0.89163,0.06008,
localvids,dataset3__tree,tree,520,0.49865,79,520.0,0.00406,0.00308,0.00969,0.14451,0.05795,3.4152,0.05603,0.93625,0.17627,
localvids,dataset3__hiker2,hiker,420,0.50593,80,420.0,0.00546,0.00314,0.01425,0.17223,0.20958,3.55204,0.0319,0.92609,0.06339,
localvids,dataset5__person2_2,person2,1435,0.50071,81,1435.0,0.00398,0.00293,0.00807,0.08942,0.12602,1.84724,0.02959,0.93688,0.06473,
localvids,dataset2__SUP5,SUP,222,0.60216,82,222.0,0.00482,0.00125,0.01602,0.32444,0.2338,6.61816,0.09258,0.93059,0.19887,
localvids,dataset5__boat9,boat,1399,0.80248,83,1399.0,0.00064,0.00026,0.02686,0.64529,0.33586,1.17168,0.03878,0.97466,0.09288,
localvids,dataset2__SpeedCar4,SpeedCar,164,0.5861,84,164.0,0.00272,0.00176,0.00382,0.10009,0.44948,5.35357,0.10623,0.94783,0.18668,
localvids,dataset3__jogging1,jogging,324,0.57738,85,324.0,0.00025,0.00016,0.00041,0.09655,0.18149,2.32466,0.1548,0.98427,0.28107,
localvids,dataset2__MountainBike6,MountainBike,81,0.54927,86,81.0,0.00328,0.00203,0.0048,0.11401,0.26687,4.04498,0.07637,0.94272,0.23902,
localvids,dataset5__person12_2,person12,1021,0.52209,87,1021.0,0.00308,0.00062,0.00389,0.11014,0.16708,2.58645,0.05219,0.94451,0.1069,
localvids,dataset2__Vaulting,Vaulting,171,0.4769,88,171.0,0.0326,0.01635,0.0615,0.15234,0.48153,7.91861,0.04657,0.81944,0.09989,
localvids,dataset1__surfer,surfer,150,0.58045,89,150.0,0.00021,0.00015,0.00033,0.07628,0.15192,5.87839,0.20911,0.98551,0.36903,
localvids,dataset2__Horse2,Horse,126,0.58227,90,126.0,0.00219,0.00146,0.00357,0.11802,0.32687,4.92577,0.1077,0.9532,0.25596,
localvids,dataset3__tower_crane,tower_crane,866,0.47088,91,866.0,0.00312,0.00231,0.00384,0.0476,0.1513,1.04055,0.01967,0.94415,0.04146,
localvids,dataset5__person21,person,487,0.73502,92,487.0,0.00022,6e-05,0.00207,0.50583,0.24521,1.76263,0.10483,0.98501,0.21517,
localvids,dataset2__Soccer2,Soccer,233,0.55579,93,233.0,0.00054,0.0003,0.00095,0.13724,0.18143,1.78198,0.07833,0.97682,0.18257,
localvids,dataset3__island,island,1969,0.45838,94,1969.0,0.10382,0.01113,0.20393,0.40117,0.36336,2.32098,0.00957,0.67779,0.02343,
localvids,dataset2__Zebra,Zebra,177,0.44777,95,177.0,0.00406,0.00285,0.00529,0.05111,0.12411,2.24515,0.03666,0.9363,0.09836,
localvids,dataset5__building3,building,829,0.51706,96,829.0,0.00061,0.00047,0.00113,0.08469,0.08044,1.57901,0.06632,0.97535,0.13363,
localvids,dataset3__car7_3,car7,1596,0.59971,97,1596.0,0.00258,0.00144,0.00451,0.12575,0.28968,2.134,0.04469,0.94921,0.15736,
localvids,dataset3__human3,human,143,0.74182,98,143.0,0.00235,0.00089,0.02646,0.4968,0.26947,18.28383,0.20592,0.95153,0.38576,
localvids,dataset3__parterre1,parterre,2400,0.49116,99,2400.0,0.00916,0.00242,0.01209,0.1125,0.08076,0.73274,0.00825,0.90429,0.01641,
localvids,dataset2__Motor2,Motor,68,0.47433,100,68.0,0.02299,0.00646,0.04008,0.18861,0.29327,11.57601,0.07899,0.84836,0.14498,
localvids,dataset5__person2_s,person2_s,250,0.42179,101,250.0,0.01224,0.00703,0.02131,0.15269,0.05289,4.01395,0.03816,0.88937,0.07684,
localvids,dataset2__RaceCar,RaceCar,80,0.44239,102,80.0,0.08998,0.00911,0.31545,0.43949,0.31832,13.59312,0.05549,0.70005,0.14278,
localvids,dataset3__electric_box,electric_box,1,0.40758,103,1.0,0.00017,0.00017,0.00017,0.0,0.0,0.0,0.0,0.98699,0.0,
localvids,dataset3__couple,couple,1,0.40642,104,1.0,0.00021,0.00021,0.00021,0.0,0.0,0.0,0.0,0.98568,0.0,
localvids,dataset3__bike9_2,bike9,321,0.60171,105,321.0,0.00478,0.00226,0.03444,0.3825,0.29587,2.68903,0.02346,0.93088,0.0422,
localvids,dataset1__basketball_3,basketball,1,0.40387,106,1.0,0.0003,0.0003,0.0003,0.0,0.0,0.0,0.0,0.98281,0.0,
localvids,dataset5__group2_3,group2,1,0.38728,107,1.0,0.00129,0.00129,0.00129,0.0,0.0,0.0,0.0,0.9641,0.0,
localvids,dataset1__cows,cows,1,0.38365,108,1.0,0.0016,0.0016,0.0016,0.0,0.0,0.0,0.0,0.96,0.0,
localvids,dataset1__sheeps_2,sheeps,1,0.38223,109,1.0,0.00173,0.00173,0.00173,0.0,0.0,0.0,0.0,0.9584,0.0,
localvids,dataset3__excavator,excavator,1,0.38178,110,1.0,0.00177,0.00177,0.00177,0.0,0.0,0.0,0.0,0.95789,0.0,
localvids,dataset3__bus1-n,bus1-n,1,0.38086,111,1.0,0.00186,0.00186,0.00186,0.0,0.0,0.0,0.0,0.95686,0.0,
localvids,dataset3__container,container,474,0.37426,112,474.0,0.03076,0.02349,0.03305,0.05203,0.25655,1.48093,0.00918,0.82461,0.02057,
localvids,dataset1__Car_video_3,Car_video,223,0.43581,113,223.0,0.00193,0.00163,0.00224,0.03167,0.03341,3.75426,0.04289,0.95605,0.09886,
localvids,dataset5__person4_1,person4,1,0.38132,114,1.0,0.00182,0.00182,0.00182,0.0,0.0,0.0,0.0,0.95738,0.0,
localvids,dataset5__person5_2,person5,1,0.35352,115,1.0,0.00547,0.00547,0.00547,0.0,0.0,0.0,0.0,0.92603,0.0,
localvids,dataset3__bike7_2,bike7,1,0.39369,116,1.0,0.00082,0.00082,0.00082,0.0,0.0,0.0,0.0,0.97133,0.0,
localvids,dataset5__person19_3,person19,1,0.38716,117,1.0,0.0013,0.0013,0.0013,0.0,0.0,0.0,0.0,0.96396,0.0,
localvids,dataset5__person3_s,person3_s,1,0.26792,118,1.0,0.02907,0.02907,0.02907,0.0,0.0,0.0,0.0,0.8295,0.0,
localvids,dataset5__car3_s,car3_s,1,0.0,119,1.0,0.22337,0.22337,0.22337,0.0,0.0,0.0,0.0,0.52738,0.0,
localvids,dataset5__bird1_2,bird1,703,0.78678,120,703.0,0.00176,0.00034,0.00475,0.19624,0.51271,11.90367,0.2921,0.95802,0.62644,
localvids,dataset5__uav1_2,uav1,823,0.67417,121,823.0,0.00412,0.00087,0.03369,0.35353,0.34298,3.19881,0.09097,0.93579,0.21815,
localvids,dataset4__uav1,uav,3469,0.94365,122,3469.0,0.00216,0.00014,0.21758,0.58296,0.38659,3.6193,0.14996,0.95348,0.43461,
localvids,dataset3__basketball_player3,basketball_player,1320,0.67441,123,1320.0,0.00164,0.0003,0.00425,0.25353,0.33164,3.04394,0.07777,0.95952,0.22113,
localvids,dataset3__car9_2,car9,1885,0.72646,124,1885.0,0.00205,0.00047,0.00793,0.38369,0.40987,1.52443,0.0362,0.95474,0.09628,
localvids,dataset3__duck1_1,duck1,2175,0.69103,125,2175.0,0.00087,0.00032,0.00186,0.15208,0.38069,2.43037,0.08784,0.97045,0.22007,
localvids,dataset3__uav3_1,uav3,634,0.68002,126,634.0,0.0015,0.00019,0.00237,0.25223,0.20132,4.31665,0.15925,0.96132,0.45991,
localvids,dataset2__BMX5,BMX,277,0.71474,127,277.0,0.00488,0.00115,0.01731,0.32812,0.39405,12.14778,0.17048,0.93012,0.44616,
localvids,dataset3__bike4_2,bike4,1129,0.63259,128,1129.0,0.00026,3e-05,0.00043,0.13159,0.25174,1.82203,0.13944,0.98386,0.2587,
localvids,dataset4__group3,group,5527,0.74961,129,5527.0,0.00129,0.00021,0.0034,0.1563,0.2735,1.23327,0.0373,0.96407,0.0961,
localvids,dataset2__Sheep2,Sheep,251,0.65667,130,251.0,0.00052,0.00024,0.00125,0.23522,0.28612,3.05609,0.1239,0.97718,0.31446,
localvids,dataset5__car13,car,415,0.6723,131,415.0,0.00014,5e-05,0.00021,0.11646,0.15775,3.03599,0.27371,0.98812,0.60246,
localvids,dataset2__StreetBasketball3,StreetBasketball,501,0.51937,132,501.0,0.00538,0.00207,0.01018,0.13973,0.15113,6.45632,0.09106,0.92667,0.20183,
localvids,dataset3__group4_2,group4,175,0.59988,133,175.0,0.01085,0.00289,0.03264,0.23711,0.39014,21.37585,0.13981,0.89582,0.2769,
localvids,dataset2__Gull2,Gull,237,0.60517,134,237.0,0.00155,0.00057,0.0034,0.15693,0.33724,4.3719,0.12127,0.96061,0.23753,
localvids,dataset3__football_player2_1,football_player2,546,0.58686,135,546.0,0.00025,0.00014,0.00042,0.10431,0.14696,1.86775,0.11939,0.98427,0.30884,
localvids,dataset5__person7_2,person7,817,0.62479,136,817.0,0.00698,0.00062,0.01535,0.22198,0.39262,6.54311,0.09054,0.91644,0.23146,
localvids,dataset3__bike1,bike,1,0.35493,137,1.0,0.00524,0.00524,0.00524,0.0,0.0,0.0,0.0,0.92763,0.0,
localvids,dataset3__football_player1_3,football_player1,1,0.3845,138,1.0,0.00152,0.00152,0.00152,0.0,0.0,0.0,0.0,0.96097,0.0,
localvids,dataset2__Skiing1,Skiing,87,0.58645,139,87.0,0.00389,0.0022,0.00656,0.14446,0.3558,6.75488,0.109,0.93764,0.26312,
localvids,dataset5__car1_1,car1,751,0.55689,140,751.0,0.00182,0.00087,0.00678,0.3248,0.0678,0.55132,0.01194,0.95729,0.03405,
localvids,dataset3__tricycle1_2,tricycle1,1113,0.59395,141,1113.0,0.00146,0.00018,0.00219,0.1134,0.26796,2.3634,0.06437,0.96173,0.19974,
localvids,dataset5__wakeboard10,wakeboard,1,0.41035,142,1.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.99012,0.0,
localvids,dataset2__Girl2,Girl,626,0.56175,143,626.0,0.00312,0.00119,0.0049,0.15331,0.1219,3.22679,0.06488,0.94419,0.29386,
localvids,dataset2__Wakeboarding1,Wakeboarding,1,0.39464,144,1.0,0.00076,0.00076,0.00076,0.0,0.0,0.0,0.0,0.9724,0.0,
localvids,dataset2__Animal3,Animal,1,0.37293,145,1.0,0.00271,0.00271,0.00271,0.0,0.0,0.0,0.0,0.94792,0.0,
localvids,dataset5__car16_2,car16,1579,0.73852,146,1579.0,0.00299,0.00043,0.01963,0.52364,0.3173,3.15338,0.05111,0.94533,0.11282,
localvids,dataset3__runner1,runner,333,0.45722,147,333.0,0.01378,0.00601,0.02576,0.14921,0.168,8.43049,0.04898,0.88261,0.11017,
localvids,dataset2__Car6,Car,381,0.67569,148,381.0,0.00378,0.0009,0.02218,0.45481,0.23282,8.40415,0.11969,0.93855,0.24484,
localvids,dataset5__truck4_1,truck4,577,0.55397,149,577.0,0.00014,8e-05,0.0003,0.13464,0.14179,0.75483,0.06293,0.98803,0.13435,
localvids,dataset3__duck2,duck,1,0.41128,150,1.0,8e-05,8e-05,8e-05,0.0,0.0,0.0,0.0,0.99116,0.0,
localvids,dataset2__Yacht4,Yacht,461,0.54787,151,461.0,0.00319,0.00082,0.00529,0.16605,0.26388,2.40006,0.04848,0.94352,0.11065,
localvids,dataset2__RcCar9,RcCar,1,0.37771,152,1.0,0.00218,0.00218,0.00218,0.0,0.0,0.0,0.0,0.95331,0.0,
localvids,dataset2__Paragliding3,Paragliding,211,0.54777,153,211.0,0.00209,0.0009,0.00327,0.14031,0.09025,4.4217,0.11102,0.95427,0.3151,
localvids,dataset3__air_conditioning_box1,air_conditioning_box,1,0.39626,154,1.0,0.00066,0.00066,0.00066,0.0,0.0,0.0,0.0,0.97423,0.0,
localvids,dataset1__horse_6,horse,448,0.44838,155,448.0,0.00878,0.00445,0.01559,0.16132,0.07952,1.80812,0.02524,0.90631,0.0544,
localvids,dataset2__ManRunning1,ManRunning,619,0.52589,156,619.0,0.01513,0.00592,0.04723,0.24773,0.24161,7.61953,0.06241,0.87701,0.13556,
localvids,dataset5__car6_2,car6,1321,0.57987,157,1321.0,0.04021,0.00561,0.18632,0.3969,0.49934,2.21001,0.01142,0.79948,0.03497,
localvids,dataset5__group1_1,group1,1333,0.50165,158,1333.0,0.0034,0.00121,0.00549,0.08761,0.13416,1.42971,0.02567,0.94168,0.06102,
localvids,dataset2__SnowBoarding2,SnowBoarding,1,0.32451,159,1.0,0.01138,0.01138,0.01138,0.0,0.0,0.0,0.0,0.89332,0.0,
localvids,dataset2__Surfing03,Surfing,1,0.3891,160,1.0,0.00115,0.00115,0.00115,0.0,0.0,0.0,0.0,0.96615,0.0,
localvids,dataset3__building1_1,building1,1140,0.44051,161,1140.0,0.01229,0.00745,0.01652,0.07812,0.13353,1.32782,0.01292,0.88915,0.04738,
localvids,dataset5__person17_1,person17,1501,0.50825,162,1501.0,0.00202,0.00078,0.00286,0.07625,0.11823,0.99011,0.02295,0.95504,0.04974,
localvids,dataset3__courier2,courier,1,0.39729,163,1.0,0.00061,0.00061,0.00061,0.0,0.0,0.0,0.0,0.97539,0.0,
localvids,dataset5__person14_2,person14,967,0.49519,164,967.0,0.0014,0.00097,0.00182,0.05264,0.08376,1.57214,0.044,0.96262,0.11624,
localvids,dataset3__tennis_player1_2,tennis_player1,1,0.38329,165,1.0,0.00163,0.00163,0.00163,0.0,0.0,0.0,0.0,0.9596,0.0,
localvids,dataset5__car8_2,car8,1219,0.48055,166,1219.0,0.01442,0.00702,0.04598,0.22589,0.11845,1.15086,0.00998,0.87992,0.02699,
localvids,dataset3__group3_1,group3,1,0.39815,167,1.0,0.00056,0.00056,0.00056,0.0,0.0,0.0,0.0,0.97636,0.0,
localvids,dataset3__motor2,motor,1,0.39756,168,1.0,0.00059,0.00059,0.00059,0.0,0.0,0.0,0.0,0.97569,0.0,
localvids,dataset5__truck3,truck,1,0.39985,169,1.0,0.00047,0.00047,0.00047,0.0,0.0,0.0,0.0,0.97827,0.0,
localvids,dataset5__person8_1,person8,1075,0.47875,170,1075.0,0.01879,0.00263,0.04137,0.15299,0.21566,5.29342,0.04121,0.86294,0.10017,
localvids,dataset3__hiker1,hiker,486,0.48772,171,486.0,0.00647,0.00403,0.0172,0.16208,0.18244,2.76386,0.02308,0.91957,0.04894,
localvids,dataset5__person2_1,person2,1189,0.49111,172,1189.0,0.00371,0.00315,0.00609,0.07488,0.1313,1.92914,0.03182,0.93908,0.07061,
localvids,dataset2__SUP4,SUP,1,0.34152,173,1.0,0.00766,0.00766,0.00766,0.0,0.0,0.0,0.0,0.9125,0.0,
localvids,dataset5__boat8,boat,1,0.40834,174,1.0,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.0,0.98785,0.0,
localvids,dataset2__SpeedCar2,SpeedCar,1,0.39595,175,1.0,0.00068,0.00068,0.00068,0.0,0.0,0.0,0.0,0.97388,0.0,
localvids,dataset3__jogging2,jogging,1,0.39834,176,1.0,0.00055,0.00055,0.00055,0.0,0.0,0.0,0.0,0.97657,0.0,
localvids,dataset2__MountainBike5,MountainBike,1,0.35681,177,1.0,0.00494,0.00494,0.00494,0.0,0.0,0.0,0.0,0.92974,0.0,
